en,es,pl,de,fr,pt,it,nl,bg,hr,cs,da,et,fi,el,hu,ga,lv,lt,mt,ro,sk,sl,sv
Field is required,El campo es obligatorio,Pole jest wymagane,Feld ist erforderlich,Le champ est obligatoire,O campo é obrigatório,Il campo è obbligatorio,Veld is verplicht,Полето е задължително,Polje je obavezno,Pole je povinné,Feltet er påkrævet,Väli on kohustuslik,Kenttä on pakollinen,Το πεδίο είναι υποχρεωτικό,A mező kötelező,Tá an réimse riachtanach,Lauks ir obligāts,Laukas yra privalomas,Il-qasam huwa obbligatorju,Câmpul este obligatoriu,Pole je povinné,Polje je obvezno,Fältet är obligatoriskt
Field needs to be between {min} and {max} characters,El campo debe tener entre {min} y {max} caracteres,Pole musi mieć od {min} do {max} znaków,Das Feld muss zwischen {min} und {max} Zeichen lang sein,Le champ doit contenir entre {min} et {max} caractères,O campo deve ter entre {min} e {max} caracteres,Il campo deve contenere tra {min} e {max} caratteri,Veld moet tussen {min} en {max} tekens bevatten,Полето трябва да е между {min} и {max} знака,Polje mora imati između {min} i {max} znakova,Pole musí mít {min} až {max} znaků,Feltet skal være mellem {min} og {max} tegn,Väli peab olema {min} kuni {max} tähemärki,Kentän pituuden on oltava {min}–{max} merkkiä,Το πεδίο πρέπει να έχει από {min} έως {max} χαρακτήρες,A mezőnek {min} és {max} karakter között kell lennie,Caithfidh an réimse a bheith idir {min} agus {max} carachtar,Laukam jābūt no {min} līdz {max} rakstzīmēm,Laukas turi būti nuo {min} iki {max} simbolių,Il-qasam irid ikun bejn {min} u {max} karattri,Câmpul trebuie să aibă între {min} și {max} caractere,Pole musí mať {min} až {max} znakov,Polje mora imeti od {min} do {max} znakov,Fältet måste vara mellan {min} och {max} tecken
Field needs to be at most {max} characters,El campo debe tener como máximo {max} caracteres,Pole może mieć maksymalnie {max} znaków,Das Feld darf höchstens {max} Zeichen lang sein,Le champ doit contenir au maximum {max} caractères,O campo deve ter no máximo {max} caracteres,Il campo deve contenere al massimo {max} caratteri,Veld mag maximaal {max} tekens bevatten,Полето трябва да е най-много {max} знака,Polje smije imati najviše {max} znakova,Pole může mít nejvýše {max} znaků,Feltet må højst være {max} tegn,Väli tohib olla kuni {max} tähemärki,Kentässä saa olla enintään {max} merkkiä,Το πεδίο πρέπει να έχει το πολύ {max} χαρακτήρες,A mező legfeljebb {max} karakter lehet,Ní féidir leis an réimse a bheith níos mó ná {max} carachtar,Laukā drīkst būt ne vairāk kā {max} rakstzīmes,Lauke gali būti ne daugiau kaip {max} simbolių,Il-qasam jista' jkun l-aktar {max} karattri,Câmpul trebuie să aibă cel mult {max} caractere,Pole môže mať najviac {max} znakov,Polje sme imeti največ {max} znakov,Fältet får vara högst {max} tecken
Field needs to be at least {min} characters,El campo debe tener al menos {min} caracteres,Pole musi mieć co najmniej {min} znaków,Das Feld muss mindestens {min} Zeichen lang sein,Le champ doit contenir au moins {min} caractères,O campo deve ter pelo menos {min} caracteres,Il campo deve contenere almeno {min} caratteri,Veld moet minimaal {min} tekens bevatten,Полето трябва да е поне {min} знака,Polje mora imati najmanje {min} znakova,Pole musí mít alespoň {min} znaků,Feltet skal være mindst {min} tegn,Väli peab olema vähemalt {min} tähemärki,Kentässä on oltava vähintään {min} merkkiä,Το πεδίο πρέπει να έχει τουλάχιστον {min} χαρακτήρες,A mezőnek legalább {min} karakternek kell lennie,Caithfidh ar a laghad {min} carachtar a bheith sa réimse,Laukā jābūt vismaz {min} rakstzīmēm,Lauke turi būti bent {min} simbolių,Il-qasam irid ikun mill-inqas {min} karattri,Câmpul trebuie să aibă cel puțin {min} caractere,Pole musí mať aspoň {min} znakov,Polje mora imeti vsaj {min} znakov,Fältet måste vara minst {min} tecken
Field needs to be a valid email,El campo debe ser un correo electrónico válido,Pole musi być prawidłowym adresem e-mail,Das Feld muss eine gültige E-Mail-Adresse sein,Le champ doit être une adresse e-mail valide,O campo deve ser um e-mail válido,Il campo deve essere un'email valida,Veld moet een geldig e-mailadres zijn,Полето трябва да е валиден имейл,Polje mora biti valjana e-mail adresa,Pole musí být platný e-mail,Feltet skal være en gyldig e-mail,Väli peab olema kehtiv e-post,Kentän on oltava kelvollinen sähköposti,Το πεδίο πρέπει να είναι έγκυρο email,A mezőnek érvényes e-mail címnek kell lennie,Caithfidh an réimse a bheith ina ríomhphost bailí,Laukam jābūt derīgam e-pastam,Laukas turi būti galiojantis el. paštas,Il-qasam irid ikun email validu,Câmpul trebuie să fie un e-mail valid,Pole musí byť platný e-mail,Polje mora biti veljaven e-poštni naslov,Fältet måste vara en giltig e-postadress
Field needs to be a valid number,El campo debe ser un número válido,Pole musi być prawidłową liczbą,Das Feld muss eine gültige Zahl sein,Le champ doit être un nombre valide,O campo deve ser um número válido,Il campo deve essere un numero valido,Veld moet een geldig getal zijn,Полето трябва да е валидно число,Polje mora biti valjan broj,Pole musí být platné číslo,Feltet skal være et gyldigt tal,Väli peab olema kehtiv arv,Kentän on oltava kelvollinen numero,Το πεδίο πρέπει να είναι έγκυρος αριθμός,A mezőnek érvényes számnak kell lennie,Caithfidh an réimse a bheith ina uimhir bhailí,Laukam jābūt derīgam skaitlim,Laukas turi būti galiojantis skaičius,Il-qasam irid ikun numru validu,Câmpul trebuie să fie un număr valid,Pole musí byť platné číslo,Polje mora biti veljavno število,Fältet måste vara ett giltigt tal
Field needs to be a valid URL,El campo debe ser una URL válida,Pole musi być prawidłowym adresem URL,Das Feld muss eine gültige URL sein,Le champ doit être une URL valide,O campo deve ser um URL válido,Il campo deve essere un URL valido,Veld moet een geldige URL zijn,Полето трябва да е валиден URL адрес,Polje mora biti valjan URL,Pole musí být platná URL,Feltet skal være en gyldig URL,Väli peab olema kehtiv URL,Kentän on oltava kelvollinen URL-osoite,Το πεδίο πρέπει να είναι έγκυρη διεύθυνση URL,A mezőnek érvényes URL-címnek kell lennie,Caithfidh an réimse a bheith ina URL bailí,Laukam jābūt derīgam URL,Laukas turi būti galiojantis URL,Il-qasam irid ikun URL validu,Câmpul trebuie să fie un URL valid,Pole musí byť platná URL,Polje mora biti veljaven URL,Fältet måste vara en giltig URL
Field needs to be between {min} and {max},El campo debe estar entre {min} y {max},Pole musi być między {min} a {max},Das Feld muss zwischen {min} und {max} liegen,Le champ doit être compris entre {min} et {max},O campo deve estar entre {min} e {max},Il campo deve essere tra {min} e {max},Veld moet tussen {min} en {max} liggen,Полето трябва да е между {min} и {max},Polje mora biti između {min} i {max},Pole musí být mezi {min} a {max},Feltet skal være mellem {min} og {max},Väli peab olema vahemikus {min} kuni {max},Kentän on oltava välillä {min}–{max},Το πεδίο πρέπει να είναι μεταξύ {min} και {max},A mezőnek {min} és {max} között kell lennie,Caithfidh an réimse a bheith idir {min} agus {max},Laukam jābūt no {min} līdz {max},Laukas turi būti nuo {min} iki {max},Il-qasam irid ikun bejn {min} u {max},Câmpul trebuie să fie între {min} și {max},Pole musí byť medzi {min} a {max},Polje mora biti med {min} in {max},Fältet måste vara mellan {min} och {max}
Field needs to be at most {max},El campo debe ser como máximo {max},Pole może wynosić maksymalnie {max},Das Feld darf höchstens {max} sein,Le champ doit être au maximum {max},O campo deve ser no máximo {max},Il campo deve essere al massimo {max},Veld mag maximaal {max} zijn,Полето трябва да е най-много {max},Polje smije biti najviše {max},Pole může být nejvýše {max},Feltet må højst være {max},Väli tohib olla kuni {max},Kentän arvo saa olla enintään {max},Το πεδίο πρέπει να είναι το πολύ {max},A mező legfeljebb {max} lehet,Ní féidir leis an réimse a bheith níos mó ná {max},Lauks drīkst būt ne vairāk kā {max},Laukas gali būti ne daugiau kaip {max},Il-qasam jista' jkun l-aktar {max},Câmpul trebuie să fie cel mult {max},Pole môže byť najviac {max},Polje sme biti največ {max},Fältet får vara högst {max}
Field needs to be at least {min},El campo debe ser al menos {min},Pole musi wynosić co najmniej {min},Das Feld muss mindestens {min} sein,Le champ doit être au moins {min},O campo deve ser pelo menos {min},Il campo deve essere almeno {min},Veld moet minimaal {min} zijn,Полето трябва да е поне {min},Polje mora biti najmanje {min},Pole musí být alespoň {min},Feltet skal være mindst {min},Väli peab olema vähemalt {min},Kentän arvo on oltava vähintään {min},Το πεδίο πρέπει να είναι τουλάχιστον {min},A mezőnek legalább {min} kell lennie,Caithfidh an réimse a bheith ar a laghad {min},Laukam jābūt vismaz {min},Laukas turi būti bent {min},Il-qasam irid ikun mill-inqas {min},Câmpul trebuie să fie cel puțin {min},Pole musí byť aspoň {min},Polje mora biti vsaj {min},Fältet måste vara minst {min}
